City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Loandjili,-4.7561,11.8578,78.55,85,99,3.6,CG,2023-01-19 06:25:30
99,Lubao,14.9167,120.55,87.87,57,49,15.55,PH,2023-01-19 06:25:32
100,Airai,-8.9266,125.4092,69.22,78,100,4.59,TL,2023-01-19 06:25:34
101,Bafoulabe,13.8065,-10.8321,70.92,16,1,4.21,ML,2023-01-19 06:25:36
102,Sitka,57.0531,-135.33,37.29,87,100,8.05,US,2023-01-19 06:25:38
103,Vangaindrano,-23.35,47.6,79.93,73,97,8.81,MG,2023-01-19 06:25:39
104,Puerto Escondido,15.85,-97.0667,74.82,81,21,4.56,MX,2023-01-19 06:25:41
105,Liverpool,53.4106,-2.9779,35.1,93,75,3.44,GB,2023-01-19 06:23:18
106,Riyadh,24.6877,46.7219,51.94,51,93,9.35,SA,2023-01-19 06:25:18
107,Rapina,58.0981,27.4636,36.34,96,100,16.24,EE,2023-01-19 06:25:46
108,Chokurdakh,70.6333,147.9167,-36.9,100,39,4.74,RU,2023-01-19 06:25:47
109,Caravelas,-17.7125,-39.2481,73.11,92,8,3.38,BR,2023-01-19 06:25:49
110,La Ronge,55.1001,-105.2842,17.85,93,100,6.91,CA,2023-01-19 06:25:50
111,Impfondo,1.6381,18.0667,76.01,41,95,1.16,CG,2023-01-19 06:25:52
112,Kilindoni,-7.9139,39.6668,79.18,83,100,8.23,TZ,2023-01-19 06:25:53
113,Ibra,22.6906,58.5334,69.3,60,49,6.11,OM,2023-01-19 06:25:55
114,Hobart,-42.8794,147.3294,63.05,53,75,13.8,AU,2023-01-19 06:25:05
115,Saint-Georges,12.0564,-61.7485,75.65,80,8,14.83,GD,2023-01-19 06:25:08
116,Port Elizabeth,-33.918,25.5701,76.1,92,100,13.8,ZA,2023-01-19 06:25:52
117,Sakakah,29.9697,40.2064,49.57,56,0,2.48,SA,2023-01-19 06:26:01
118,Codrington,-38.2667,141.9667,62.49,50,41,15.79,AU,2023-01-19 06:26:03
119,Nome,64.5011,-165.4064,-11.13,65,0,9.22,US,2023-01-19 06:26:05
120,Vila Velha,-20.3297,-40.2925,71.55,94,75,2.3,BR,2023-01-19 06:22:59
121,Palmer,42.1584,-72.3287,41.14,74,100,8.05,US,2023-01-19 06:26:09
122,Seoul,37.5683,126.9778,40.6,44,0,10.36,KR,2023-01-19 06:26:11
123,Wanning,18.8003,110.3967,67.44,69,97,12.75,CN,2023-01-19 06:26:13
124,Tuktoyaktuk,69.4541,-133.0374,5.0,85,100,12.66,CA,2023-01-19 06:26:15
125,Saint-Leu,-21.15,55.2833,84.96,100,98,4.07,RE,2023-01-19 06:26:18
126,Punta Arenas,-53.15,-70.9167,51.91,82,0,12.66,CL,2023-01-19 06:22:46
127,Kargasok,59.0556,80.8572,8.64,93,98,11.88,RU,2023-01-19 06:26:24
128,Marsa Matruh,31.3525,27.2453,52.0,93,0,8.05,EG,2023-01-19 06:26:26
129,Korla,41.7597,86.1469,13.57,71,6,4.5,CN,2023-01-19 06:26:28
130,Nenton,15.8,-91.75,63.82,57,51,4.38,GT,2023-01-19 06:26:30
131,Mount Gambier,-37.8333,140.7667,63.66,45,6,12.93,AU,2023-01-19 06:26:32
132,Adrar,20.5022,-10.0711,56.79,43,95,8.23,MR,2023-01-19 06:26:34
133,Hamilton,39.1834,-84.5333,49.05,94,100,12.66,US,2023-01-19 06:26:35
134,Saint-Ambroise,48.5501,-71.3324,28.94,89,96,9.73,CA,2023-01-19 06:26:37
135,Butaritari,3.0707,172.7902,80.94,82,98,16.67,KI,2023-01-19 06:26:39
136,Orbetello,42.4408,11.2196,37.42,74,37,1.05,IT,2023-01-19 06:26:41
137,Khatanga,71.9667,102.5,-32.33,99,16,7.05,RU,2023-01-19 06:26:43
138,Pemangkat,1.1667,108.9667,81.81,75,94,8.46,ID,2023-01-19 06:27:44
139,Sawtell,-30.3833,153.1,73.18,88,75,13.8,AU,2023-01-19 06:27:45
140,Hede,33.7681,120.2517,49.14,33,8,15.3,CN,2023-01-19 06:27:46
141,Tual,-5.6667,132.75,82.94,74,100,19.22,ID,2023-01-19 06:27:47
142,Clyde River,70.4692,-68.5914,-19.97,69,100,4.61,CA,2023-01-19 06:27:49
143,Nanortalik,60.1432,-45.2371,28.78,83,100,16.04,GL,2023-01-19 06:27:50
144,Fukue,32.6881,128.8419,46.76,66,75,10.36,JP,2023-01-19 06:27:51
145,Kununurra,-15.7667,128.7333,93.18,62,40,4.61,AU,2023-01-19 06:25:10
146,Colesberg,-30.72,25.0972,75.72,46,76,10.45,ZA,2023-01-19 06:27:53
147,Lanigan,51.8501,-105.0344,19.29,99,92,4.88,CA,2023-01-19 06:25:55
148,Manacapuru,-3.2997,-60.6206,72.63,96,96,5.28,BR,2023-01-19 06:27:34
149,Broome,42.2506,-75.833,38.01,89,100,8.05,US,2023-01-19 06:27:56
150,Batagay,67.6333,134.6333,-51.88,100,97,1.16,RU,2023-01-19 06:27:56
151,Naranjos,21.35,-97.6833,71.49,69,80,5.3,MX,2023-01-19 06:27:57
152,Qaanaaq,77.484,-69.3632,-19.97,92,100,6.31,GL,2023-01-19 06:27:58
153,Inhambane,-23.865,35.3833,85.98,70,40,3.44,MZ,2023-01-19 06:28:00
154,Carnarvon,-24.8667,113.6333,84.0,66,2,17.85,AU,2023-01-19 06:28:01
155,Ponta Do Sol,32.6667,-17.1,59.72,70,53,9.73,PT,2023-01-19 06:28:02
156,Itaquyry,-24.9333,-55.2167,72.68,82,1,1.88,PY,2023-01-19 06:28:03
157,Norman Wells,65.282,-126.8329,-3.96,84,75,4.61,CA,2023-01-19 06:28:04
158,Lamar,33.6668,-95.5836,53.89,44,0,9.22,US,2023-01-19 06:28:05
159,Taoudenni,22.6783,-3.9836,60.87,35,100,6.49,ML,2023-01-19 06:28:06
160,Muros,42.7762,-9.0603,44.69,71,82,15.3,ES,2023-01-19 06:28:07
161,Bahia Honda,22.9036,-83.1592,69.37,89,54,5.64,CU,2023-01-19 06:28:07
