City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Horodkivka,UA,49.9068,28.9847,25.81,89,89,8.99,overcast clouds
275,Hualmay,PE,-11.0964,-77.6139,71.64,82,100,6.93,overcast clouds
276,Iracoubo,GF,5.4802,-53.2011,74.62,89,90,5.68,overcast clouds
277,Seoul,KR,37.5683,126.9778,35.04,64,46,7.76,scattered clouds
278,Chingirlau,KZ,51.095,54.0814,-0.74,100,83,5.32,broken clouds
279,Borogontsy,RU,62.6683,131.1683,-37.17,94,67,1.45,broken clouds
280,Diego De Almagro,CL,-26.3667,-70.05,65.62,53,53,2.98,broken clouds
281,Sulangan,PH,11.1373,123.7228,78.57,84,98,15.35,overcast clouds
282,Terme,TR,41.2092,36.9739,44.53,88,100,17.31,light rain
283,Mareeba,AU,-17.0,145.4333,90.45,65,56,8.77,light rain
284,Atar,MR,20.5169,-13.0499,55.0,49,97,7.02,overcast clouds
285,Abadiania,BR,-16.2042,-48.7069,68.92,94,64,2.26,broken clouds
286,Oro Valley,US,32.3909,-110.9665,55.11,32,0,4.0,clear sky
287,Longjiang,CN,47.3303,123.1836,4.14,80,71,2.39,broken clouds
288,Nassau,US,40.7507,-73.5829,47.86,74,0,4.61,clear sky
289,Xiamen,CN,24.4798,118.0819,57.25,35,0,6.71,clear sky
290,Coquimbo,CL,-29.9533,-71.3436,60.53,100,20,3.44,few clouds
291,Arinos,BR,-15.9169,-46.1056,71.29,85,91,0.72,overcast clouds
292,Mao,ES,39.8885,4.2658,46.96,71,75,20.71,broken clouds
293,Grindavik,IS,63.8424,-22.4338,36.07,80,75,19.57,broken clouds
294,Pacific Grove,US,36.6177,-121.9166,51.48,80,100,8.05,overcast clouds
295,Upernavik,GL,72.7868,-56.1549,3.22,87,100,28.88,overcast clouds
296,Kilimatinde,TZ,-5.85,34.95,61.68,76,50,2.28,scattered clouds
297,Bilma,NE,18.6853,12.9164,69.08,15,100,9.28,overcast clouds
298,Itaqui,BR,-29.1253,-56.5531,81.12,51,81,7.38,broken clouds
299,Acarau,BR,-2.8856,-40.12,77.36,86,8,10.78,clear sky
300,Lambarene,GA,-0.7001,10.2406,74.01,94,55,1.23,broken clouds
301,Riyadh,SA,24.6877,46.7219,46.54,47,0,4.68,clear sky
302,Port Hardy,CA,50.6996,-127.4199,37.33,52,0,12.39,clear sky
303,Illapel,CL,-31.6308,-71.1653,70.54,57,0,1.36,clear sky
304,Cap Malheureux,MU,-19.9842,57.6142,81.46,83,63,5.79,broken clouds
305,Nantucket,US,41.2835,-70.0995,41.14,88,0,9.22,clear sky
306,La Rioja,ES,42.25,-2.5,28.18,97,100,5.93,light snow
307,Telma,RU,52.6983,103.7097,15.31,85,93,3.51,overcast clouds
308,Lisakovsk,KZ,52.5369,62.4936,-7.37,100,59,3.58,broken clouds
309,Jiexiu,CN,37.0244,111.9125,36.09,18,0,8.88,clear sky
310,Willowmore,ZA,-33.2926,23.4895,54.93,72,97,10.11,overcast clouds
311,Qaqortoq,GL,60.7167,-46.0333,0.61,81,6,6.76,clear sky
312,Filingue,NE,14.3521,3.3168,67.08,7,98,10.63,overcast clouds
313,Dawei,MM,14.0833,98.2,83.8,30,4,14.74,clear sky
314,Norman Wells,CA,65.282,-126.8329,-11.16,77,75,2.3,broken clouds
